year,type,url
2008,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2008%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2008.csv
2009,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2009%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2009.csv
2010,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2010%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2010.csv
2011,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2011%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2011.csv
2012,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2012%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2012.csv
2013,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2013%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2013.csv
2014,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2014%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2014.csv
2015,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2015%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2015.csv
2016,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2016%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2016.csv
2017,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2017%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2017.csv
2018,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2018%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2018.csv
2019,continuous,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2019%2FContinuousData-DonneesContinu%2FHourlyData-DonneesHoraires%2FPM25_2019.csv
